"","unid","working","volunteer","leadershiprole","peoplelive","peoplelive_15plus","numchildren","numearnincome","anygrant","anyhhincome","givemoney_yes","cft_score","com_score","grit_score","num_score","opt_score","age","gender_male"
"43216",59129,FALSE,1,0,4,4,1,NA,1,1,1,NA,NA,NA,NA,NA,24,1
"43217",36500,FALSE,0,0,7,6,1,NA,1,1,0,NA,NA,NA,NA,NA,26,0
"43218",58811,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,24,0
"43219",84460,TRUE,0,1,6,4,1,NA,1,1,1,NA,NA,NA,NA,NA,22,0
"43220",100208,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,20,0
"43221",59281,FALSE,1,1,3,NA,0,2,0,1,1,4,6,2,NA,9,22,0
"43222",8615,FALSE,1,1,3,NA,0,0,1,0,1,3,NA,0,NA,5,29,1
"43223",15758,FALSE,1,0,4,1,1,NA,0,1,1,4,5,3,3,2,28,1
"43224",55755,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,25,0
"43225",32564,FALSE,0,1,5,NA,1,0,1,0,1,6,5,9,4,5,26,0
"43226",60194,TRUE,0,0,3,3,1,NA,0,1,1,NA,NA,NA,NA,NA,24,1
"43227",62320,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,4,NA,NA,23,0
"43228",92759,TRUE,0,0,1,1,0,NA,0,0,0,7,NA,9,NA,6,20,0
"43229",35786,FALSE,1,1,2,NA,0,0,1,0,1,8,8,1,3,3,25,1
"43230",96819,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0
"43231",22271,FALSE,1,0,0,NA,0,2,1,1,1,4,NA,2,NA,9,26,1
"43232",61064,FALSE,0,1,3,NA,1,3,1,1,0,2,NA,8,NA,4,22,0
"43233",82234,FALSE,1,1,1,NA,0,1,0,1,0,6,8,0,5,3,20,1
"43234",95360,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,21,1
"43235",63976,FALSE,0,0,10,9,1,NA,1,1,1,5,NA,4,NA,4,23,0
"43236",12718,FALSE,0,0,7,NA,3,2,0,1,1,7,5,8,4,4,29,0
"43237",7178,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,3,NA,7,NA,NA,31,0
"43238",26478,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,27,0
"43239",92155,FALSE,0,0,3,3,0,NA,0,1,0,5,NA,1,NA,8,20,0
"43240",83758,TRUE,1,1,10,NA,0,0,1,0,1,5,5,8,NA,7,21,1
"43241",18535,FALSE,0,0,3,NA,2,0,1,0,1,3,5,7,NA,9,27,0
"43242",95068,FALSE,1,1,3,NA,0,1,1,1,1,5,NA,6,NA,3,20,0
"43243",33858,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,27,0
"43244",94610,FALSE,0,0,3,2,0,NA,0,1,0,9,NA,7,NA,5,20,0
"43245",78840,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,23,1
"43246",94354,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,7,4,NA,19,0
"43247",90160,FALSE,0,0,1,4,0,NA,0,1,0,4,NA,0,NA,7,20,0
"43248",54084,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,7,9,0,NA,NA,25,1
"43249",100156,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0
"43250",60836,TRUE,1,1,0,NA,0,1,1,1,1,9,NA,4,NA,4,23,0
"43251",33301,FALSE,0,1,12,NA,1,2,1,1,0,5,NA,5,NA,1,25,0
"43252",28122,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,27,0
"43253",80347,FALSE,0,0,4,NA,1,1,1,1,0,4,7,1,NA,10,21,0
"43254",14277,TRUE,NA,NA,NA,NA,NA,NA,0,0,NA,6,7,5,7,NA,27,1
"43255",22576,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,28,0
"43256",86987,FALSE,0,0,0,NA,1,NA,0,0,NA,4,7,9,3,6,21,0
"43257",75663,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,7,NA,NA,22,0
"43258",95940,FALSE,0,0,5,NA,0,0,1,0,0,6,NA,8,NA,10,20,0
"43259",94878,FALSE,0,1,5,3,1,NA,1,1,1,NA,NA,NA,NA,NA,21,0
"43260",3368,FALSE,1,1,4,1,3,NA,1,1,0,NA,NA,NA,NA,NA,32,0
"43261",26216,FALSE,0,0,3,NA,1,1,1,1,0,7,5,2,4,-1,25,1
"43262",9663,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,7,6,8,NA,NA,28,1
"43263",101640,FALSE,0,1,1,1,0,NA,0,1,1,8,NA,1,NA,0,18,1
"43264",24721,FALSE,0,0,0,NA,3,NA,0,0,NA,NA,NA,NA,NA,NA,27,0
"43265",8989,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,7,NA,NA,28,1
